sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
sig_CXCL9andCXCL10_1_y,CXCL9andCXCL10,Homo sapiens,CXCL9/10-overexpressing (OE) MDA-MB-231 breast cancer cells,stimulated with 1 µM AMG-487 (CXCR3i)or 0.001% DMSO vehicle daily for 7 days,stimulated with 1 µM AMG-487 (CXCR3i)or 0.001% DMSO vehicle daily for 7 days,MicroArray,LigScape
sig_DKK1_1_y,DKK1,Homo sapiens,human cancer cell line PC3,na,na,RNA-Seq,LigScape
sig_DLK1_1_y,DLK1,Homo sapiens,hESC derived beta cells/MEL1,na,Day23,RNA-Seq,LigScape
sig_DLL1_1_y,DLL1,Homo sapiens,MCF7 tamoxifen resistant breast tumor cells,na,na,RNA-Seq,LigScape
sig_DLL1_2_y,DLL1,Homo sapiens,MCF7 tamoxifen resistant breast tumor cells,na,na,RNA-Seq,LigScape
sig_DLL4_1_y,DLL4,Homo sapiens,Primary Cells_Human Dermal Lymphatic Endothelial Cells (LEC),na,6h,RNA-Seq,LigScape
sig_DLL4_2_y,DLL4,Homo sapiens,Primary Cells_ Human Umbilical Vein Endothelial Cells (HUVEC),na,6h,RNA-Seq,LigScape
sig_DLL4_3_y,DLL4,Homo sapiens,Primary Cells_ Human Microvascular Retinal Endothelial Cells (HREC),na,6h,RNA-Seq,LigScape
sig_DSC1_1_y,DSC1,Homo sapiens,breast cancer cell line MCF7/epithelial cell,na,na,RNA-Seq,LigScape
sig_EDN1_2_y,EDN1,Homo sapiens,Patient-derived HG-SOC primary cells (PMOV10),100 nM,24h,RNA-Seq,LigScape
sig_EDN1_3_y,EDN1,Homo sapiens,human derived iPS cardiomyocytes,10nM,18h,RNA-Seq,LigScape
sig_EFEMP1_1_y,EFEMP1,Homo sapiens,Human mesothelioma cells (Malignant mesothelioma)_H-2595,na,48h,RNA-Seq,LigScape
sig_EFEMP1_2_y,EFEMP1,Homo sapiens,Human mesothelioma cells (Malignant mesothelioma)_H-226,na,48h,RNA-Seq,LigScape
sig_EFNA5_1_y,EFNA5,Homo sapiens,Human Glioma Cell Line U3013,50 µl,30min,RNA-Seq,LigScape
sig_EFNA5_2_y,EFNA5,Homo sapiens,Human Glioma Cell Line U3013,50 µl,30min,RNA-Seq,LigScape
sig_EFNA5_3_y,EFNA5,Homo sapiens,Human Glioma Cell Line U3013,50 µl,30min,RNA-Seq,LigScape
sig_EFNA5_4_y,EFNA5,Homo sapiens,Human Glioma Cell Line U3013,50 µl,30min,RNA-Seq,LigScape
sig_EFNA5_5_y,EFNA5,Homo sapiens,Human Glioma Cell Line U3013,50 µl,30min,RNA-Seq,LigScape
sig_EFNA5_6_y,EFNA5,Homo sapiens,Human Breast Adenocarcinoma Cell Line MDA-MB-231,50 µl,30min,RNA-Seq,LigScape
sig_EPCAM_1_y,EPCAM,Homo sapiens,human leiomyosarcoma cell line TYLMS-1,na,48h,RNA-Seq,LigScape
sig_EPCAM_2_y,EPCAM,Homo sapiens,human leiomyosarcoma cell line TYLMS-1,na,48h,RNA-Seq,LigScape
sig_EREG_1_y,EREG,Homo sapiens,Human prostate cancer cells_Carcinoma_ derived from the metastatic site_ bone of a prostate cancer patient_PC3,na,3d,RNA-Seq,LigScape
sig_EREG_2_y,EREG,Homo sapiens,Human prostate cancer cells_Grade IV_ adenocarcinoma_ derived from the metastatic site_ brain of a prostate cancer patient_DU145,na,3d,RNA-Seq,LigScape
sig_FASLG_1_y,FASLG,Homo sapiens,colon-HCT116 Drosha k.o.,na,na,RNA-Seq,LigScape
sig_FASLG_2_y,FASLG,Homo sapiens,Ovaries-HeyA8 CD95 k.o. cells clone #11,na,na,RNA-Seq,LigScape
sig_FASLG_3_y,FASLG,Homo sapiens,LNCaP cells - tissue: prostate; derived from metastatic site: left supraclavicular lymph node,na,55h,RNA-Seq,LigScape
sig_FGF3_1_y,FGF3,Homo sapiens,Breast Cancer_T47D,na,48h,RNA-Seq,LigScape
sig_FNDC5_1_y,FNDC5,Homo sapiens,primary mesenchymal stem cells,10ug/ml,2d,RNA-Seq,LigScape
sig_FNDC5_2_y,FNDC5,Homo sapiens,Subcutaneous adipocytes cell,1 μg/ml (20 nM),na,RNA-Seq,LigScape
sig_GAS6_1_y,GAS6,Homo sapiens,macrophage (healthy primary cell),200 ng/ml,na,RNA-Seq,LigScape
sig_GDF15_1_y,GDF15,Homo sapiens,Swiss nude mouse_xenograft ovarian tumor from mouse (generated from human ovarian cancer cell lines A2780)/A2780,na,na,RNA-Seq,LigScape
sig_GDF15_2_y,GDF15,Homo sapiens,Swiss nude mouse_xenograft ovarian tumor from mouse (generated from human ovarian cancer cell lines A2780)/A2780,na,na,RNA-Seq,LigScape
sig_GIP_1_y,GIP,Homo sapiens,Osteoclasts differentiated in vitro from CD14 positive peripheral blood cells,10nM,4h,RNA-Seq,LigScape
sig_GRN_1_y,GRN,Homo sapiens,Differentiated microglia from the PGP1 iPS cell line (Synthego),na,na,RNA-Seq,LigScape
sig_HSP90AA1_1_y,HSP90AA1,Homo sapiens,Glioblastoma cell line_LN229,10 nM,24h,RNA-Seq,LigScape
sig_HSP90AA1_2_y,HSP90AA1,Homo sapiens,Glioblastoma cell line_T98G,10 nM,24h,RNA-Seq,LigScape
sig_ITGAV_1_y,ITGAV,Homo sapiens,breast cancer cells/MDA-MB-231,na,3d,RNA-Seq,LigScape
sig_ITGAV_2_y,ITGAV,Homo sapiens,cutaneous T-cell lymphoma (CTCL)/HuT78,na,na,RNA-Seq,LigScape
sig_JAG1_1_y,JAG1,Homo sapiens,Primary Human Coronary Artery Endothelial Cells (HCAEC),na,na,RNA-Seq,LigScape
sig_JAM3_1_y,JAM3,Homo sapiens,villi-derived cytotrophoblasts,na,24h,RNA-Seq,LigScape
sig_KMT2E_1_y,KMT2E,Homo sapiens,Pulmonary arterial endothelial cells/Hypoxic HPAEC,na,8h (siRNA incubation),RNA-Seq,LigScape
sig_LAMC2_1_y,LAMC2,Homo sapiens,pancreatic cancer cells (HPAFII),na,48h,RNA-Seq,LigScape
sig_LEP_1_y,LEP,Homo sapiens,LNCaP (androgen-sensitive human prostate cancer cell line),1x10-6 M,48h,MicroArray,LigScape
sig_LGALS1_1_y,LGALS1,Homo sapiens,human umbilical vein endothelial cells (HUVECs),na,48h,RNA-Seq,LigScape
sig_LGALS1_2_y,LGALS1,Homo sapiens,patient-derived brain tumour stem cells,na,na,RNA-Seq,LigScape
sig_LGALS1_3_y,LGALS1,Homo sapiens,human retinal microvascular endothelial cells/HRMEC,na,na,RNA-Seq,LigScape
sig_LGALS3_1_y,LGALS3,Homo sapiens,brain_GBM primary line,na,na,RNA-Seq,LigScape
sig_LGALS3_2_y,LGALS3,Homo sapiens,Embryonic kidney_Human embryonic kidney cells/HEK-293T,na,24h,RNA-Seq,LigScape
sig_LGALS9_1_y,LGALS9,Homo sapiens,tonsillar mononuclear cells/MACS-sorted human naive B cells,1µg/ml,16h,RNA-Seq,LigScape
sig_LPA_1_y,LPA,Homo sapiens,Primary CD14+ monocytes,10 μM,4h,RNA-Seq,LigScape
sig_LTBP3_1_y,LTBP3,Homo sapiens,normal colon fibroblasts (CCD18Co),na,48h,RNA-Seq,LigScape
sig_LTF_1_y,LTF,Homo sapiens,iPSC (SPC2 iPSC line_ clone SPC2-ST-B2_ Boston University)-derived alveolar epithelial type 2 cells iAEC2,6.25uM (500ug/ml),48h,RNA-Seq,LigScape
sig_LTF_2_y,LTF,Homo sapiens,Caco-2 spheroids,na,4h,RNA-Seq,LigScape
sig_MUC1_1_y,MUC1,Homo sapiens,TNBC Breast Cancer Cell line BT549,na,na,RNA-Seq,LigScape
sig_MUC1_2_y,MUC1,Homo sapiens,Kras mutant Non-small Cells Lung Cancer A549,na,na,RNA-Seq,LigScape
sig_MUC1_3_y,MUC1,Homo sapiens,TNBC Breast Cancer Cell line BT-549,na,na,RNA-Seq,LigScape
sig_MUC1_4_y,MUC1,Homo sapiens,TNBC Breast Cancer Cell line SUM149,na,na,RNA-Seq,LigScape
