sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
TGFB1.Condition.hepatic.stellate.cells.Duration.24h.GSE128940.RNASeq.SRP189607_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TRAIL.Duration.5h.Condition.Panc1.GSE87287.MicroArray.HuGene.1_0.st.v1,TNFSF10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL12.Condition.CD4..Th.cell.Duration.12h.GSE32959.MicroArray.HG.U133_Plus_2,IL12AandIL12B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.CD4..Th.cell.Duration.12h.GSE32959.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL12.Condition.CD4..Th.cell.Duration.24h.GSE32959.MicroArray.HG.U133_Plus_2,IL12AandIL12B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.CD4..Th.cell.Duration.24h.GSE32959.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL12.Condition.CD4..Th.cell.Duration.48h.GSE32959.MicroArray.HG.U133_Plus_2,IL12AandIL12B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.CD4..Th.cell.Duration.48h.GSE32959.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL12.Condition.CD4..Th.cell.Duration.72h.GSE32959.MicroArray.HG.U133_Plus_2,IL12AandIL12B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.CD4..Th.cell.Duration.72h.GSE32959.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10.ng.mL_Duration.24h.Condition.MRC5.GSE97833.MicroArray.GPL17077,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Condition.Monocytes.Duration.1.5h.GSE38351.MicroArray.HG.U133_Plus_2,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Monocytes.Duration.1.5h.GSE38351.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.Monocytes.Duration.1.5h.GSE38351.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.GSE8730.MicroArray.HG.U133A,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.HepG2.Duration.8d.GSE127763.MicroArray.GPL13369,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.Huh7.Duration.8d.GSE127763.MicroArray.GPL13369,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
CD40L.Duration.18h.Condition.Primary.B.cells.GSE132835.RNASeq.SRP201603_GRCh38,CD40LG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
CD40L.Duration.1h.Condition.Primary.B.cells.GSE132835.RNASeq.SRP201603_GRCh38,CD40LG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
GCSF.Condition.blood.0cGy.Duration.24h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.0cGy.Duration.6h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.150cGy.Duration.24h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.150cGy.Duration.6h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.300cGy.Duration.24h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.300cGy.Duration.6h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.600cGy.Duration.24h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.blood.600cGy.Duration.6h.GSE58613.MicroArray.HG.U133A_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10.ng.mL.Condition.bioprinted.liver.tissues.Duration.14h.GSE113630.MicroArray.Clariom_S_Human_HT,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10.ng.mL.Condition.bioprinted.liver.tissues.Duration.28h.GSE113630.MicroArray.Clariom_S_Human_HT,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL17A.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,IL17A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.primary.keratinocytes.GSE36287.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.Dose.0.06.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.Dose.0.2.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.Dose.10.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.Dose.10.ng.ml_Duration.48h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.Dose.2.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL33.Dose.20.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL33,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL5.Dose.10.ng.ml_Duration.24h.Condition.basophils.GSE64639.MicroArray.GPL10558,IL5,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GMCSF.Condition.Monocyte.GSE75938.MicroArray.PrimeView,CSF2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.TF1a.AML.cell.line.Duration.3d.GSE102483.MicroArray.HuGene.2_1.st,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL27.Condition.CD14..monocyte.with.MCSF.GSE44955.MicroArray.HuGene.1_0.st.v1,IL27,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.50.U.ml.Condition.Macrophage.Duration.24h.GSE85333.MicroArray.HuGene.2_1.st,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.NHBE.cell.Duration.0.5h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.ml.Condition.NHBE.cell.Duration.0.5h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.30ng.ml.Condition.NHBE.cell.Duration.0.5h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.NHBE.cell.Duration.2.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.ml.Condition.NHBE.cell.Duration.2.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.30ng.ml.Condition.NHBE.cell.Duration.2.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.NHBE.cell.Duration.24.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.ml.Condition.NHBE.cell.Duration.24.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.30ng.ml.Condition.NHBE.cell.Duration.24.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.NHBE.cell.Duration.4.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.ml.Condition.NHBE.cell.Duration.4.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.30ng.ml.Condition.NHBE.cell.Duration.4.0h.E.MTAB.1312.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.ml_Duration.90min.Condition.human.SGBS.adiposytes.GSE60462.RNASeq.SRP045545_GRCh38,TNF,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL13.Duration.12.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Duration.24.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Duration.2.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Duration.4.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Duration.8.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Duration.12.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Duration.24.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Duration.2.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Duration.4.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Duration.8.Condition.Fibroblast.GSE56308.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
CD40L.Condition.Depleted.islet.cells.GSE8873.MicroArray.GPL1708,CD40LG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Duration.12mon.Condition.PBMC.from.patients.with.multiple.sclerosis.GSE26104.MicroArray.HG.U133_Plus_2,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Duration.24mon.Condition.PBMC.from.patients.with.multiple.sclerosis.GSE26104.MicroArray.HG.U133_Plus_2,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Duration.3mon.Condition.PBMC.from.patients.with.multiple.sclerosis.GSE26104.MicroArray.HG.U133_Plus_2,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.100.ng.m.Condition.NHBE.E.MTAB.2091.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL11.Dose.100.ng.m.Condition.NHBE.E.MTAB.2091.MicroArray.HG.U133_Plus_2,IL11,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL1B.Dose.50.ng.m.Condition.NHBE.E.MTAB.2091.MicroArray.HG.U133_Plus_2,IL1B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Dose.100.ng.m.Condition.NHBE.E.MTAB.2091.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100.ng.m.Condition.NHBE.E.MTAB.2091.MicroArray.HG.U133_Plus_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL15.Condition.Intestinal.epithelial.cells.GSE120904.RNASeq.SRP163900_GRCh38,IL15,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL15.Condition.Intestinal.intraepithelial.cytotoxic.T.cells.GSE120904.RNASeq.SRP163900_GRCh38,IL15,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL21.Condition.Intestinal.epithelial.cells.GSE120904.RNASeq.SRP163900_GRCh38,IL21,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL21.Condition.Intestinal.intraepithelial.cytotoxic.T.cells.GSE120904.RNASeq.SRP163900_GRCh38,IL21,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL7.Condition.CD4..T.cells.Duration.6h.GSE96888.MicroArray.GPL17077,IL7,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.BeWo_no.IGF.1.GSE119651.MicroArray.GPL21185,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100pg.ml.Condition.BeWo_no.IGF.1.GSE119651.MicroArray.GPL21185,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100ng.ml.Condition.BeWo_with.IGF.1.GSE119651.MicroArray.GPL21185,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.100pg.ml.Condition.BeWo_with.IGF.1.GSE119651.MicroArray.GPL21185,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Macrophage.Duration.18h.GSE36537.MicroArray.GPL6480,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Macrophage.Duration.18h.GSE36537.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Monocyte.Duration.18h.GSE36537.MicroArray.GPL6480,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Monocyte.Duration.18h.GSE36537.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Monocyte.Duration.6h.GSE36537.MicroArray.GPL6480,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Monocyte.Duration.6h.GSE36537.MicroArray.GPL6480,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Macrophage.GSE98368.RNASeq.SRP105796_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TNFA.Condition.human.gingival.fibroblast.cell.lines.Duration.1h.GSE13903.MicroArray.GPL7768,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.human.gingival.fibroblast.cell.lines.Duration.3h.GSE13903.MicroArray.GPL7768,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.human.gingival.fibroblast.cell.lines.Duration.6h.GSE13903.MicroArray.GPL7768,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GMCSF.Condition.Eosinophil.GSE128027.RNASeq.SRP187898_GRCh38,CSF2,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL3.Condition.Eosinophil.GSE128027.RNASeq.SRP187898_GRCh38,IL3,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL5.Condition.Eosinophil.GSE128027.RNASeq.SRP187898_GRCh38,IL5,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNG.Dose.100ng.ml_Duration.20h.Condition.THP1.GSE132408.RNASeq.SRP200817_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL1B.Condition.hTERT.HMA.B.Human.Myometrial.Cell.Line.GSE134896.RNASeq.SRP216421_GRCh38,IL1B,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Condition.CD34..progenitors.Duration.24h.GSE31318.MicroArray.HG.U133_Plus_2,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.CD34..progenitors.Duration.6h.GSE31318.MicroArray.HG.U133_Plus_2,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL1A.GSE9120.MicroArray.HG.U133A_2,IL1A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.mL_Duration.30min.Condition.HEK293.DMSO.GSE101626.MicroArray.GPL14550,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10ng.mL_Duration.30min.Condition.HEK293.SnxA.GSE101626.MicroArray.GPL14550,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.1d.Condition.primary.airway.epithelial.cells.GSE84135.RNASeq.SRP078053_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Duration.3d.Condition.primary.airway.epithelial.cells.GSE84135.RNASeq.SRP078053_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL1B.Dose.0.5ng.ml.Condition.HUVEC.Duration.4h.GSE37624.MicroArray.GPL6102,IL1B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL33.Dose.50ng.ml.Condition.HUVEC.Duration.4h.GSE37624.MicroArray.GPL6102,IL33,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL25.Condition.ILC2..Lineage.negative..CRTH2...CD161...CD127...Duration.24h.GSE45458.MicroArray.GPL13497,IL25,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL33.Condition.ILC2..Lineage.negative..CRTH2...CD161...CD127...Duration.24h.GSE45458.MicroArray.GPL13497,IL33,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TSLP.Condition.ILC2..Lineage.negative..CRTH2...CD161...CD127...Duration.24h.GSE45458.MicroArray.GPL13497,TSLP,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL25.Condition.ILC2..Lineage.negative..CRTH2...CD161...CD127...Duration.6h.GSE45458.MicroArray.GPL13497,IL25,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL33.Condition.ILC2..Lineage.negative..CRTH2...CD161...CD127...Duration.6h.GSE45458.MicroArray.GPL13497,IL33,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL17A.Dose.200ng.ml_Duration.12h.Condition.HaCaT.GSE27533.MicroArray.GPL10558,IL17A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.10.ng.m.Condition.Macrophage.Duration.1d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.10.ng.m.Condition.Macrophage.Duration.3d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.10.ng.m.Condition.Macrophage.Duration.6d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Dose.10.ng.m.Condition.Macrophage.Duration.1d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Dose.10.ng.m.Condition.Macrophage.Duration.3d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Dose.10.ng.m.Condition.Macrophage.Duration.6d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Dose.20.ng.m.Condition.Macrophage.Duration.1d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Dose.20.ng.m.Condition.Macrophage.Duration.3d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Dose.20.ng.m.Condition.Macrophage.Duration.6d.E.MTAB.5913.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL6.Condition.Prostate.Fibroblast.GSE68164.MicroArray.GPL10558,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.Prostate.Fibroblast.GSE68164.MicroArray.GPL10558,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
LIF.Duration.48h.Condition.Fibroblast.Dose.0.2ug.GSE81996.MicroArray.GPL17077,LIF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.48h.Condition.Fibroblast.Dose.0.2ug.GSE81996.MicroArray.GPL17077,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.primary.macrophages.GSE95588.RNASeq.SRP100947_GRCh38,TNF,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TRAIL.Dose.100ng.ml_Duration.2h.Condition.HCT116.GSE104602.RNASeq.SRP119428_GRCh38,TNFSF10,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL1B.Condition.IL.1RI..Th17.GSE127457.RNASeq.SRP187077_GRCh38,IL1B,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL1B.Condition.IL.1RI..Th17.GSE127457.RNASeq.SRP187077_GRCh38.1,IL1B,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNG.Condition.Macrophage.Duration.24.h.GSE85346.MicroArray.GPL13497,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Condition.Macrophage.Duration.24.h.GSE85346.MicroArray.GPL13497,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL1B.Condition.Macrophage.Duration.24.h.GSE85346.MicroArray.GPL13497,IL1B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Macrophage.Duration.24.h.GSE85346.MicroArray.GPL13497,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.Plasmacytoid.dendritic.cells..pDCs..GSE37750.MicroArray.HG.U133_Plus_2,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL7.Condition.CD19..B.cells.E.MEXP.2878.MicroArray.HG.U133_Plus_2,IL7,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10ng.ml.Condition.HK.2.Duration.24h.GSE118337.MicroArray.GPL13497,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10ng.ml.Condition.RPTEC.Duration.24h.GSE118337.MicroArray.GPL13497,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Condition.CD4..T.cell.GSE17946.MicroArray.GPL2507,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.CD4..T.cell_activated.via.CD3CD28.GSE17946.MicroArray.GPL2507,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GMCSF.Condition.Monocyte.GSE123270.MicroArray.GPL10558,CSF2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
MCSF.Condition.Monocyte.GSE123270.MicroArray.GPL10558,CSF1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.12h.Condition.IOSE.cells.GSE6653.MicroArray.HG.U133_Plus_2,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.3h.Condition.IOSE.cells.GSE6653.MicroArray.HG.U133_Plus_2,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.6h.Condition.IOSE.cells.GSE6653.MicroArray.HG.U133_Plus_2,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL17C.Dose.500.ng.ml.Condition.Human.keratinocytes.Duration.24h.GSE32620.MicroArray.GPL6480,IL17C,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL17C.Dose.500.ng.ml.Condition.Human.keratinocytes.Duration.3h.GSE32620.MicroArray.GPL6480,IL17C,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL15.Dose.10.ng.mL.Condition.CCR7.CD45RA..CD8..T.cells.Duration.2d.GSE69072.MicroArray.HuGene.1_0.st.v1,IL15,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.gingival.fibroblast.GSE65069.MicroArray.HuGene.1_0.st.v1,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.PH5CH8.Duration.12h.GSE117127.RNASeq.SRP153809_GRCh38,IFNB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNL.Condition.PH5CH8.Duration.12h.GSE117127.RNASeq.SRP153809_GRCh38,IFNL2andIFNL3andIFNL1andIFNL4,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
MCSF.Duration.7d.Condition.Monocyte.GSE60199.MicroArray.GPL10558,CSF1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Condition.ENCODE.EBV.immortalized.B.cell.line.GSE72501.RNASeq.SRP062956_GRCh38,IFNA,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Condition.IPF769.GSE109585.MicroArray.GPL21185,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.IPF769_ACT.GSE109585.MicroArray.GPL21185,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.peripheral.blood.monocytes.GSE142672.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
